Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
101,065,SFD ATG,T,Seattle Fire (Fire-Tac) - Announcement Talkgroup,Fire-Tac,Seattle Fire
103,067,SFD 1,T,Seattle Fire (Fire-Tac) - Full Response (Structure Fires),Fire-Tac,Seattle Fire
105,069,SFD 2,T,Seattle Fire (Fire-Tac) - Fire Alarms/Incidents,Fire-Tac,Seattle Fire
107,06b,SFD 3 ,T,Seattle Fire (Fire-Tac) - Rescue Responses,Fire-Tac,Seattle Fire
109,06d,SFD 4,T,Seattle Fire (Fire Dispatch) - Fire Dispatch 4 (Seattle Fire),Fire Dispatch,Seattle Fire
111,06f,SFD Disp Alt,T,Seattle Fire (Fire Dispatch) - SFD Alternate Dispatch (Trucks to FAC),Fire Dispatch,Seattle Fire
113,071,SFD 6 ,T,Seattle Fire (Fire-Tac) - Aid/Medic Responses Primary,Fire-Tac,Seattle Fire
115,073,SFD Cmnd 11,T,Seattle Fire (Fire-Talk) - Ch 11 Fire Command Support,Fire-Talk,Seattle Fire
117,075,SFD Cmnd 12,T,Seattle Fire (Fire-Tac) - Ch 12 Fire Command Support,Fire-Tac,Seattle Fire
119,077,SFD MyDy Tac,T,Seattle Fire (Fire-Tac) - Fire Mayday Tactical,Fire-Tac,Seattle Fire
121,079,SFD RIT,T,Seattle Fire (Fire-Tac) - Fire Rapid Intervention Team,Fire-Tac,Seattle Fire
123,07b,SFD AMB,T,Seattle Fire (Fire-Tac) - Seattle Fire AMB,Fire-Tac,Seattle Fire
125,07d,SFD Medic 1,T,Seattle Fire (Fire-Tac) - Medic One Doctor,Fire-Tac,Seattle Fire
127,07f,SFD Trma Doc,T,Seattle Fire (EMS-Tac) - Trauma Doctor,EMS-Tac,Seattle Fire
131,083,SFD 7,T,Seattle Fire (Fire-Tac) - EMS Secondary,Fire-Tac,Seattle Fire
133,085,SFD Emerg,T,Seattle Fire (Fire-Tac) - Fire Emergency,Fire-Tac,Seattle Fire
137,089,SFD FAC,T,Seattle Fire (Fire-Talk) - Fire Alarm Center Administration,Fire-Talk,Seattle Fire
139,08b,SFD AIR,T,Seattle Fire (EMS-Tac) - Airlift Northwest,EMS-Tac,Seattle Fire
141,08d,SFD RMC/EOC,T,Seattle Fire (Emergency Ops) - EOC / Fire Coordination,Emergency Ops,Seattle Fire
